# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      155        39 -0.18142715243503568234
      155        40 0.0067367599873483750839
      156         5 0.12883608311810093583
      156         6 -0.30858277669044287261
      156         7 0.0041078165295024456072
      156         8 0.75204259647756843687
      156         9 -0.14212168455017176738
      156        10 -0.046540442682736611613
      156        11 -0.0021422227680519272293
      156        12 -0.046950999282815653046
      156        21 0.077280556831202482093
      156        22 0.24249286270162037638
      156        33 -0.14579528056054802398
      156        34 -0.31656597547910159118
      156        35 0.073097971412617271381
      156        36 -0.17859213248428099097
      156        39 0.0067367599873485554951
      156        40 -0.088713911123132441205
      157         1 -0.019920302597865861827
      157         2 -0.0010261921753080725187
      157         3 -0.17384445909215659465
      157         4 -0.24354132620801027809
      157         5 1.1876497667027992033
      157         6 -0.004020975459647628536
      157         7 0.03859766777781899888
      157         8 0.23398301815938074566
      157         9 -0.011414766391977236928
      157        10 0.0011470117330106526909
      157        19 -0.023672042149333646921
      157        20 0.2494790323842882851
      157        21 -0.23656884422267451806
      157        22 -0.21525841603638196098
      157        27 -0.0046497181685226200709
      157        28 0.0023162598768557592088
      157        35 -0.69929468679463147041
      157        36 -0.026028448814450173138
      157        37 -0.033638869024568349153
      157        38 0.0050327351278458953149
      157        39 -0.012883118511345097168
      157        40 -0.0020826985875832633097
      158         1 -0.00095381342985223569863
      158         2 -0.043973003385833965562
      158         3 -0.0081904155097233966726
      158         4 -0.30738909221764099122
      158         5 0.058195903756737520085
      158         6 1.1643857780056952045
      158         7 -0.057586611758316155751
      158         8 -0.2000425819243007719
      158         9 -0.0049235270094293032833
      158        10 -0.024204337434396649975
      158        19 0.24947903238426824557
      158        20 -0.11469306007084682786
      158        21 -0.21525841603636272636
      158        22 -0.25334898532743782562
      158        27 0.0023162598768537451949
      158        28 -0.005522896837752396329
      158        35 -0.026028448814438456815
      158        36 -0.17816074512395846385
      158        37 0.0050327351278461494519
      158        38 -0.01917971051441945407
      158        39 -0.002082698587583262876
      158        40 -0.0075107376415672159886
      159        11 -0.02321191741426985658
      159        12 -0.093209095576574918507
      159        13 0.8085801762153593808
      159        14 -0.092929445137961766421
      159        15 0.22610589734694908071
      159        16 0.1711283595130759505
      159        17 -0.017220664875918126335
      159        18 0.0048450544377157973158
      159        23 -0.34847695726252242432
      159        24 0.16737193663244046005
      159        25 -0.31611999704655574517
      159        26 -0.043725444501627901139
      159        31 -0.28911329448266825937
      159        32 -0.11406750974331719695
      159        43 -0.014248688341198136389
      159        44 4.458360794300560571e-05
      159        45 -0.017697702186627573689
      159        46 0.00054156076830620626574
      160        11 0.065687319312328670828
      160        12 -0.19598761073032086588
      160        13 0.076342704868918656591
      160        14 0.74420692051123227273
      160        15 -0.14591829391419625095
      160        16 -0.0078237085599424903426
      160        17 -0.0062768570308013565268
      160        18 -0.038953686185576680279
      160        23 0.16737193663244068209
      160        24 -0.35693301212844835701
      160        25 -0.043725444501623848825
      160        26 0.22165784845975688988
      160        31 -0.11406750974331554549
      160        32 -0.34156133497481455663
      160        43 4.4583607942583383503e-05
      160        44 -0.007120064911468236557
      160        45 0.00054156076830638917065
      160        46 -0.0088884995278691401183
      161         7 -0.091487890464111903954
      161         8 -0.12693361033897346268
      161         9 0.68435878201995825609
