# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      157       140 -0.0018879842322066617711
      157       145 -0.17152658586622504533
      157       146 -0.21465982838889763329
      157       155 -0.084304437877544491364
      157       156 0.14013594595136841248
      157       157 1.437738348452098025
      157       158 0.074838613262001696391
      157       163 0.058027463175956230101
      157       164 0.17557300698985633947
      157       165 -0.42752112167005257293
      157       166 -0.26035981734574686897
      157       175 -0.79159698716095960869
      157       176 0.072303504048056119191
      158       131 0.0004750207331346147999
      158       132 -0.0019305783506955173992
      158       139 -9.8820983359677194323e-05
      158       140 -0.0018247293404662606308
      158       145 -0.013419819138915923401
      158       146 -0.29016793875923579948
      158       155 -0.095684908782246724801
      158       156 -0.38520032657646846586
      158       157 0.074838613262001696391
      158       158 1.3913389414288197532
      158       163 0.22194622820702905597
      158       164 -0.15722027535482790972
      158       165 -0.26035981734571195245
      158       166 -0.25513108790390187641
      158       175 0.072303504048069233701
      158       176 -0.28950337761567818129
      159       133 -0.011411990206604992124
      159       134 0.016823742244711756971
      159       141 -0.024721120612347536466
      159       142 -0.013198786059173425386
      159       147 -0.078917976944345061274
      159       148 -0.1134348510842995289
      159       153 -0.15139268655907681116
      159       154 0.14720577903423662236
      159       159 1.387848704357242946
      159       160 -0.049491627378117436509
      159       167 -0.65191271313773169194
      159       168 0.2648683444551829802
      159       173 -0.46089536494458499538
      159       174 -0.25277260121254085945
      160       133 0.00073867822161925397219
      160       134 -0.0037644288716953801591
      160       141 -0.00036707655303581119069
      160       142 -0.011147313179471844344
      160       147 0.12080387466675840402
      160       148 -0.38236906525425878867
      160       153 -0.08549872448758023824
      160       154 -0.48590049329426737712
      160       159 -0.049491627378117436509
      160       160 1.5039363821176290337
      160       167 0.26658747674289001717
      160       168 -0.36670022480057845593
      160       173 -0.25277260121253380953
      160       174 -0.24545800476480730823
      161       143 -0.22927251085711730649
      161       144 -0.01309733115901026354
      161       147 -0.17414077931495597351
      161       148 0.16661155921109238598
      161       155 -0.1346798252653273742
      161       156 -0.13044987331733257085
      161       161 1.7680712040012220854
      161       162 -0.01432275051887609181
      161       177 -0.58189078806450189596
      161       178 -0.2807756889257638222
      161       179 -0.63868209056081670649
      161       180 0.27203408470989054457
      162       143 -0.0036822138633525527962
      162       144 -0.083715424208430103126
      162       147 -0.028235260395521225019
      162       148 -0.49731436833241787765
      162       155 0.055583564276254895931
      162       156 -0.49422089795503693077
      162       161 -0.01432275051887609181
      162       162 1.8883069082290295793
      162       177 -0.28137742420840022861
      162       178 -0.40908931775109480533
      162       179 0.27203408470989504098
      162       180 -0.39456169004354912921
      163       145 -0.74428607644740951699
      163       146 0.018958780635391230679
      163       149 -0.13809123872886513995
      163       150 -0.25381961244140360812
      163       157 0.058027463175956230101
      163       158 0.22194622820702905597
      163       163 2.6256437978791375976
      163       164 0.030127138671988379359
      163       169 -0.51101704578927986677
      163       170 0.27255245746825279562
      163       175 -0.6365055843724763962
      163       176 -0.28927452466604697268
      163       183 -0.63851682095465733813
      163       184 -0.00049046787521020418759
      164       145 0.0084996228218549591676
      164       146 -0.26313522378866932572
      164       149 -0.19698723341070858983
      164       150 -0.22717871572061074104
      164       157 0.17557300698985633947
      164       158 -0.15722027535482790972
      164       163 0.030127138671988379359
      164       164 2.7916949351397093437
      164       169 0.27255245746824724451
      164       170 -0.94999665627046858685
      164       175 -0.2892745246660630154
      164       176 -1.0278754448936824328
      164       183 -0.00049046787517525341268
      164       184 -0.15103412434904958661
      165       155 -0.61527189050919928182
      165       156 0.25934520687658740856
      165       157 -0.42752112167005257293
      165       158 -0.26035981734571195245
      165       165 2.5217028236819554188
      165       166 -0.05363821410223754832
      165       175 -0.20927187675696601321
      165       176 0.023652077871426629291
      165       179 -0.31711659495610894366
      165       180 -0.033069009415280792297
      165       181 -0.45370936026644587136
      165       182 0.26287536247934079059
      165       197 -0.48389250925366911193
      165       198 -0.19880560636412408781
      166       155 0.25934520687661638538
      166       156 -0.34371651172934769569
      166       157 -0.26035981734574686897
      166       158 -0.25513108790390187641
      166       165 -0.05363821410223754832
      166       166 2.7944795344589885566
      166       175 0.023652077871413913768
      166       176 -0.79488625579488025874
      166       179 -0.033069009415275220365
      166       180 -0.96931242151976670929
      166       181 0.26287536247936976741
      166       182 -0.29466144178594838587
      166       197 -0.1988056063641404636
      166       198 -0.12185234545562327602
      167       147 -0.44317624606584099523
      167       148 -0.24505809310773804532
      167       159 -0.65191271313773169194
      167       160 0.26658747674289001717
      167       167 2.5584229348898164247
      167       168 -0.038546385981596348325
      167       173 -0.15905906311288978139
      167       174 -0.0050119104671136564116
      167       177 -0.25434025270356247495
      167       178 0.030059353882227919652
      167       185 -0.55532354339495004769
      167       186 -0.24841991761632065128
      167       193 -0.47827983354548980754
      167       194 0.24038947654765077666
      168       147 -0.24348618112708844685
      168       148 -0.21480699071155701096
      168       159 0.2648683444551829802
      168       160 -0.36670022480057845593
      168       167 -0.038546385981596348325
      168       168 2.6995113134897579243
      168       173 -0.005011910467126094379
      168       174 -0.74098294682448673232
      168       177 0.030206574189294156663
      168       178 -0.8760105745948469913
      168       185 -0.24841991761631496138
      168       186 -0.27405470492363054325
      168       193 0.24038947654764861173
      168       194 -0.21062458870530068045
      169       149 -0.41019969911090686798
      169       150 0.19423431174388955389
      169       163 -0.51101704578927986677
      169       164 0.27255245746824724451
      169       169 1.4538924278300748849
      169       170 -0.20750628947930424562
      169       183 -0.028629493228552412021
      169       184 -0.24465684104564075496
      169       187 -0.49616322900160092502
      169       188 -0.014623638687191822111
      170       149 -0.055765688256081219487
      170       150 -0.13386565029008387628
      170       163 0.27255245746825279562
      170       164 -0.94999665627046858685
      170       169 -0.20750628947930424562
      170       170 1.4437301044118038273
      170       183 -0.24465684104565971202
      170       184 -0.12447026560107356252
      170       187 0.23537636131279240925
      170       188 -0.22751457155044294001
      171       151 -0.39166456554984951932
      171       152 -0.0018136099443823488955
      171       153 -0.18734505090733588606
      171       154 -0.25158396946837080499
      171       171 1.3426492074501159557
      171       172 0.004375642082663678753
      171       173 -0.18122489105997477421
      171       174 0.0030019953812203742025
      171       189 -0.39509043020545336899
      171       190 -0.0023624593328469326546
      171       191 -0.17720196634751325671
      171       192 0.24838240128171601429
      172       151 0.2481863900556107172
      172       152 -0.19215221378968505572
      172       153 -0.25158399244864704247
      172       154 -0.10305663471538682729
      172       171 0.004375642082663678753
      172       172 1.3239061231213347103
      172       173 0.0030020183615061648078
      172       174 -0.73975919804839496141
      172       189 -0.25236245933283246723
      172       190 -0.20184580746023195186
      172       191 0.24838240128169891685
      172       192 -0.076969965727645514586
      173       153 -0.6696101631869016968
      173       154 0.23723004327928948198
